post_id,author,comment,active
1,maliksbby,"gosh we love these five idiots so much __Â for me, they have seriously turned my life around and I am so thankful for that x ~Zhanna__Ã”""",0
2,lynnseyerinalexandra,Zaaaayn,0
3,its_paynefull,Larry,0
4,maria.azpiri,Niall_Å½Ã›_,0
5,myabvb,How do u get a gif? I cant aave them to my phone,0
6,a.k.watkins,"Larry, Zayn being sexy, and Niall and Liam doing something stupid in the back",0
7,emilymcloone,@sarahhlizzie _Å½Ã›__Å½â€šÂ´,0
8,liz.crockett,@a_magnifecent_cheesecake,0
9,emilymorgan15,@kaylaaagonzales pretty much.,0
10,signehugger,@wellhellocurly a to the men,0
11,niazki.lam,larry <3,0
12,69with_harryx,I just was looking at lary,0
13,69with_harryx,Larry,0
14,supaaaabbyy,Larry having their little moment there :),0
15,cliffordslittlesecret,are of you actually fans of one direction ? or larry ? hard to tell tbh,0
16,boobguyniall,@crazycrazycrazy1d lmao just because ur an elounor shipper doesn't mean you have to be a bitch lol shut up,0
17,eilisa.halpinbarnett,@ellacleary_,0
18,cliffordslittlesecret,@ughedits not really,0
19,cliffordslittlesecret,@sunshineniall I'm not a bitch just saying that people only seem to care about larry nowadays,0
20,emilyjbenson,@emmaemichels123,0
21,chiara_311,xD,1
